--- sub-BYJoWR_ses-PeriOp_task-HoldR_acq-MedOff_run-1_split-01_events.tsv ---
trial_type      onset   duration        end
      rest   0.000000 298.000000 298.000000
   bad_lfp  43.000000   3.500000  46.500000
   bad_lfp 143.000000   9.000000 152.000000
   bad_lfp 168.000000   6.000000 174.000000
   bad_lfp 195.000000   4.000000 199.000000
   bad_lfp 258.000000   8.000000 266.000000
     HoldR 298.834500 404.862085 703.696585
   bad_lfp 320.359532   4.056372 324.415904
   bad_lfp 380.880227  20.586087 401.466314
   bad_lfp 410.585691   6.185967 416.771658
   bad_lfp 420.151968   1.690155 421.842123
   bad_lfp 433.707010   2.602839 436.309849
   bad_lfp 439.453537   3.583128 443.036666
   bad_lfp 457.152204   4.394403 461.546606
   bad_lfp 466.143828   2.771854 468.915682
   bad_lfp 483.958061   4.191584 488.149645
   bad_lfp 540.997129   2.670445 543.667574
   bad_lfp 552.016939   3.650735 555.667674
   bad_lfp 567.295939   9.464868 576.760807
   bad_lfp 601.315090   3.515522 604.830612
   bad_lfp 614.464495   6.490195 620.954690
   bad_lfp 640.235251   2.940870 643.176121
   bad_lfp 648.517010   2.433823 650.950833
   bad_lfp 700.154572   1.859170 702.013743
   bad_lfp 704.887006   7.876122 712.763128
   bad_lfp 733.923114   1.690155 735.613268
   bad_lfp 739.838656   2.332414 742.171070
     HoldR 754.549739 109.415958 863.965697
   bad_lfp 761.073561   2.231005 763.304565
   bad_lfp 840.472935   6.929520 847.402455
   bad_lfp 856.393930   4.056304 860.450234


   --- sub-BYJoWR_ses-PeriOp_task-HoldR_acq-MedOn_run-1_split-01_events.tsv ---
trial_type      onset   duration        end
      rest   0.000000 300.000000 300.000000
   bad_lfp  22.000000   2.500000  24.500000
   bad_lfp 197.000000   4.000000 201.000000
   bad_lfp 211.500000   6.000000 217.500000
   bad_lfp 236.500000   1.500000 238.000000
     HoldR 300.297434  64.941623 365.239058
   bad_lfp 367.041018   4.123978 371.164996
     HoldR 390.388563 120.464841 510.853404
   bad_lfp 400.742707   1.825367 402.568075
   bad_lfp 492.148888   3.177491 495.326379
   bad_lfp 511.622434   1.791564 513.413998
   bad_lfp 520.208421   1.825367 522.033788
   bad_lfp 524.569021   1.554943 526.123963
   bad_lfp 537.076167   5.002859 542.079026
     HoldR 549.086000  97.285000 646.371000
   bad_lfp 556.529370   4.969055 561.498425
   bad_lfp 564.608310   1.960580 566.568890
   bad_lfp 570.321034   1.690155 572.011189
   bad_lfp 635.267984   2.061989 637.329973
   bad_lfp 660.843111  59.167222 720.010333
     HoldR 660.999500 101.317000 762.316500
   bad_lfp 724.531058   6.388786 730.919844
   bad_lfp 733.150848   1.825367 734.976216
   bad_lfp 740.790349   2.873263 743.663612
   bad_lfp 750.662360  11.188826 761.851185
     HoldR 779.743113 141.154979 920.898092
   bad_lfp 871.563372   7.098651 878.662023

