--- sub-VopvKx_ses-PeriOp_task-HoldR_acq-MedOn_run-1_events.tsv ---
trial_type      onset   duration        end
      rest   0.000000 300.000000 300.000000
   bad_lfp 139.000000   3.000000 142.000000
   bad_lfp 241.000000   6.000000 247.000000
   bad_lfp 249.000000  12.000000 261.000000
     HoldR 402.270000  67.276500 469.546500
     HoldR 501.150500  60.375000 561.525500
   bad_lfp 536.848655  16.157881 553.006537
   bad_lfp 558.212214   7.740910 565.953123
   bad_lfp 579.007322  10.073323 589.080645
     HoldR 587.799500  64.588000 652.387500
     HoldR 671.880500  67.789500 739.670000
   bad_lfp 675.758494   4.123978 679.882472
   bad_lfp 721.928231   5.442299 727.370530
     HoldR 760.900237  64.781657 825.681895
