--- sub-dCsWjQ_ses-PeriOp_task-HoldL_acq-MedOff_run-1_events.tsv ---
trial_type      onset   duration        end
      rest   0.000000 294.000000 294.000000
   bad_lfp  63.000000   1.000000  64.000000
   bad_lfp  87.000000   2.000000  89.000000
   bad_lfp 258.000000   3.000000 261.000000
     HoldL 303.735080 108.912498 412.647578
     HoldL 443.659500 165.840500 609.500000
     HoldL 630.647500  66.011864 696.659364
     HoldL 719.205726  60.759971 779.965697


--- sub-dCsWjQ_ses-PeriOp_task-HoldL_acq-MedOn_run-1_split-01_events.tsv ---
trial_type      onset   duration        end
      rest   0.000000 300.000000 300.000000
     HoldL 377.137171  29.075829 406.213000
     HoldL 425.985388  17.273383 443.258771
     HoldL 450.617755  62.719317 513.337072
     HoldL 519.274350  82.514865 601.789214
     HoldL 619.149344 142.650271 761.799615
     HoldL 777.416647  17.104368 794.521015
     HoldL 811.798850  69.588041 881.386892
