--- sub-i4oK0F-HoldL-MedOff_run-1_events.tsv ---
trial_type      onset   duration        end
      rest   0.000000 300.000000 300.000000
   bad_lfp 125.000000   4.000000 129.000000
     HoldL 309.350000  68.579500 377.929500
     HoldL 413.852141  66.914859 480.767000
     HoldL 518.196500  68.757000 586.953500
     HoldL 613.610500  67.639500 681.250000
     HoldL 700.835372  74.562720 775.398092
   bad_lfp 710.124685   6.862029 716.986714
   bad_lfp 732.942108   9.802735 742.744843


--- sub-i4oK0F-HoldL-MedOn_run-1_events.tsv ---
trial_type      onset   duration        end
      rest   0.000000 300.000000 300.000000
   bad_lfp 228.627189  11.391644 240.018833
     HoldL 304.805500  74.917000 379.722500
     HoldL 398.932000  65.766500 464.698500
     HoldL 487.700141  75.590359 563.290500
     HoldL 622.278500  63.438680 685.717180
     HoldL 710.291551  60.640344 770.931895
